"model","comparison","pval","W","comparison_difference"
"rangebagging / vine","gaussian / rangebagging",0.00136494267817752,266,-0.123858686137375
"rangebagging / vine","gaussian / gaussian",0.00572310075774016,296,-0.119224622412593
"rangebagging / vine","gaussian / kde",0.00039219080775801,243,-0.135638635402503
"rangebagging / vine","gaussian / vine",0.00286899886840993,281,-0.114628275870044
"rangebagging / vine","gaussian / lobagoc",0.00712427337115375,301,-0.102860795338423
"rangebagging / vine","kde / rangebagging",0.00113212092134648,272,-0.131520705823365
"rangebagging / vine","kde / gaussian",0.00431565445712315,300,-0.125839360973239
"rangebagging / vine","kde / kde",0.00145661181843946,277,-0.134345289339794
"rangebagging / vine","kde / vine",0.00248506710739615,288,-0.124519453401437
"rangebagging / vine","kde / lobagoc",0.00667589790921598,310,-0.105193762494691
"rangebagging / vine","vine / rangebagging",0.00110942006293095,262,-0.134262736043022
"rangebagging / vine","vine / gaussian",0.000898156918617089,258,-0.137393012093377
"rangebagging / vine","vine / kde",0.000764533787399643,255,-0.137326275659715
"rangebagging / vine","vine / vine",0.00167275448829128,270,-0.132796607805558
"rangebagging / vine","vine / lobagoc",0.0032877983525299,294,-0.110112503515859
"rangebagging / vine","lobagoc / rangebagging",0.0570643121091586,321,-0.0517377947644856
"rangebagging / vine","lobagoc / gaussian",0.0291928840816837,280,-0.062154860008575
"rangebagging / vine","lobagoc / kde",0.0451624556220123,326,-0.0541128056527229
"rangebagging / vine","lobagoc / vine",0.0416639533327795,289,-0.0556522260300398
"rangebagging / vine","lobagoc / lobagoc",0.121562388229323,382,-0.0401707597715525
"rangebagging / vine","rangebagging / none",0.000576154548137457,222,-0.130434527794778
"rangebagging / vine","gaussian / none",0.00136494267817752,266,-0.123877935666998
"rangebagging / vine","kde / none",0.00113212092134648,272,-0.131539342366414
"rangebagging / vine","vine / none",0.00110942006293095,262,-0.134285565795884
"rangebagging / vine","lobagoc / none",0.0209149113959162,272,-0.0628878540702236
